selection_unit_id,spec,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,model_id,stage2_model_label,covariance_model_label,covariance_model_kind,mean_model_kind,cross_policy_label,selection_eval_mode,optimizer_backend,block,selection_split_mode,train_start_date,train_end_date,val_start_date,val_end_date,train_obs,validation_months,validation_ce_est,validation_ce_predictive_static,validation_ce_myopic,validation_ce_zero,validation_ce_delta_predictive_static,validation_ce_delta_myopic,validation_ce_delta_zero,validation_sharpe_est,validation_turnover_est,validation_max_drawdown_est,validation_score,validation_cross_mode,validation_ce_equal_weight,validation_ce_delta_equal_weight,validation_ce_min_variance,validation_ce_delta_min_variance,validation_ce_risk_parity,validation_ce_delta_risk_parity,assigned_device,error
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__dcc,dcc,dcc,asset_dcc,factor_apt_regime,estimated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.089611232767309,0.0692259649237642,0.0692259649237642,0.0889053679307594,0.020385267843544788,0.020385267843544788,0.000705864836549594,1.1360385546035598,0.5791377552223896,-0.1597795279429839,0.09031709760385859,estimated,0.0429754365861768,0.04663579618113219,0.005039295321805,0.084571937445504,0.0378165494478775,0.051794683319431496,cuda:1,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt_regime,zero,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0889053679307594,0.0692259649237642,0.0692259649237642,0.0889053679307594,0.019679403006995194,0.019679403006995194,0.0,1.1097727605184022,0.612029497684785,-0.1746078885961527,0.0889053679307594,zero,0.0429754365861768,0.0459299313445826,0.005039295321805,0.0838660726089544,0.0378165494478775,0.0510888184828819,cuda:1,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__adcc,adcc,adcc,asset_adcc,factor_apt_regime,estimated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0894041152209834,0.0692109090907599,0.0692109090907599,0.0888405479189053,0.020193206130223504,0.020193206130223504,0.0005635673020780996,1.1335709227503672,0.5798998589494739,-0.1597366157068424,0.0899676825230615,estimated,0.0429754365861768,0.046428678634806604,0.005039295321805,0.0843648198991784,0.0378165494478775,0.05158756577310591,cuda:1,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt_regime,zero,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0888405479189053,0.0692109090907599,0.0692109090907599,0.0888405479189053,0.019629638828145404,0.019629638828145404,0.0,1.1090031992298248,0.6129596911401095,-0.1746518709621107,0.0888405479189053,zero,0.0429754365861768,0.045865111332728505,0.005039295321805,0.0838012525971003,0.0378165494478775,0.05102399847102781,cuda:1,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__regime_dcc,regime_dcc,regime_dcc,asset_regime_dcc,factor_apt_regime,estimated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0884745907442721,0.0616838096914077,0.0616838096914077,0.0878398889488989,0.026790781052864393,0.026790781052864393,0.0006347017953731993,1.1229311811214835,0.5888495568553459,-0.1607927803665395,0.0891092925396453,estimated,0.0429754365861768,0.045499154158095294,0.005039295321805,0.0834352954224671,0.0378165494478775,0.0506580412963946,cuda:1,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__regime_dcc__zero_cross,regime_dcc__zero_cross,regime_dcc,asset_regime_dcc,factor_apt_regime,zero,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0878398889488989,0.0616838096914077,0.0616838096914077,0.0878398889488989,0.026156079257491194,0.026156079257491194,0.0,1.100735961270462,0.6215309255466794,-0.1744969230327637,0.0878398889488989,zero,0.0429754365861768,0.044864452362722095,0.005039295321805,0.0828005936270939,0.0378165494478775,0.0500233395010214,cuda:1,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__regime_dcc__gated_cross,regime_dcc__gated_cross,regime_dcc,asset_regime_dcc,factor_apt_regime,regime_gated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0890027493839866,0.0616838096914077,0.0616838096914077,0.0878398889488989,0.027318939692578897,0.027318939692578897,0.0011628604350877036,1.1272983701283703,0.5894037286467777,-0.1608058412615369,0.0901656098190743,regime_gated,0.0429754365861768,0.0460273127978098,0.005039295321805,0.0839634540621816,0.0378165494478775,0.0511861999361091,cuda:1,
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__const,const,const,constant,factor_apt_regime,estimated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0863890453474009,0.0708835773131046,0.0708835773131046,0.0850749002153401,0.015505468034296296,0.015505468034296296,0.0013141451320607955,1.1091796112446994,0.5887170249023437,-0.1373696437493524,0.08770319047946169,estimated,0.0429754365861768,0.0434136087612241,0.005039295321805,0.0813497500255959,0.0378165494478775,0.0485724958995234,cuda:1,
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__const__zero_cross,const__zero_cross,const,constant,factor_apt_regime,zero,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0850749002153401,0.0708835773131046,0.0708835773131046,0.0850749002153401,0.0141913229022355,0.0141913229022355,0.0,1.0769776758050251,0.6233785295747397,-0.1576265770030349,0.0850749002153401,zero,0.0429754365861768,0.0420994636291633,0.005039295321805,0.0800356048935351,0.0378165494478775,0.047258350767462605,cuda:1,
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__dcc,dcc,dcc,asset_dcc,factor_apt_regime,estimated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0902261495955256,0.0704928201560207,0.0704928201560207,0.0905689574728103,0.019733329439504912,0.019733329439504912,-0.00034280787728468987,1.141942516029605,0.5736626390519218,-0.1569573955245716,0.08988334171824092,estimated,0.0429754365861768,0.047250713009348806,0.005039295321805,0.08518685427372061,0.0378165494478775,0.05240960014764811,cuda:1,
