selection_unit_id,spec,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,model_id,stage2_model_label,covariance_model_label,covariance_model_kind,mean_model_kind,cross_policy_label,selection_eval_mode,ppgdpo_lite_blocks_valid,ppgdpo_lite_score_mean,ppgdpo_lite_score_q10,ppgdpo_lite_ce_mean,ppgdpo_lite_predictive_static_ce_mean,ppgdpo_lite_myopic_ce_mean,ppgdpo_lite_equal_weight_ce_mean,ppgdpo_lite_min_variance_ce_mean,ppgdpo_lite_risk_parity_ce_mean,ppgdpo_lite_ce_delta_predictive_static_mean,ppgdpo_lite_ce_delta_myopic_mean,ppgdpo_lite_ce_delta_zero_mean,ppgdpo_lite_ce_delta_equal_weight_mean,ppgdpo_lite_ce_delta_min_variance_mean,ppgdpo_lite_ce_delta_risk_parity_mean,ppgdpo_lite_sharpe_mean,ppgdpo_lite_train_objective_mean,assigned_device,stage2_rank_myopic_ce,stage2_rank_ce_gain,stage2_rank_ppgdpo_score,stage2_rank_ppgdpo_q10,stage2_rank_hedging_gain,stage2_real_ppgdpo_score,stage2_mean_first_score,stage2_sort_score,diagnostic_rank,selected_stage2_model,selected_stage2_model_rank
pls_H2_k2__rolling240m_annual__baseline_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__baseline_mean__regime_dcc__zero_cross,regime_dcc__zero_cross,regime_dcc,asset_regime_dcc,factor_apt,zero,pure_qp,1,0.089419228254371,0.089419228254371,0.089419228254371,0.0710148412165119,0.0710148412165119,0.0429754365861768,0.005039295321805,0.0378165494478775,0.0184043870378591,0.0184043870378591,0.0,0.0464437916681942,0.084379932932566,0.0516026788064935,1.1161428194194714,,cuda:0,0.3943661971830986,0.6619718309859155,0.704225352112676,0.704225352112676,0.6690140845070423,0.6954225352112675,0.6954225352112675,0.6954225352112675,21.0,False,
pls_H24_k2__rolling240m_annual__baseline_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__baseline_mean__adcc,adcc,adcc,asset_adcc,factor_apt,estimated,pure_qp,1,0.08966370179437912,0.08966370179437912,0.0896638957247256,0.0728018583383335,0.0728018583383335,0.0429754365861768,0.005039295321805,0.0378165494478775,0.01686203738639211,0.01686203738639211,-1.9393034648984564e-07,0.046688459138548806,0.08462460040292061,0.05184734627684811,1.1327865020842702,,cuda:0,0.9366197183098591,0.45070422535211263,0.7746478873239436,0.7746478873239436,0.43661971830985913,0.6901408450704225,0.6901408450704225,0.6901408450704225,22.0,False,
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__regime_dcc__zero_cross,regime_dcc__zero_cross,regime_dcc,asset_regime_dcc,factor_apt_regime,zero,pure_qp,1,0.0893009157338327,0.0893009157338327,0.0893009157338327,0.0654035426708978,0.0654035426708978,0.0429754365861768,0.005039295321805,0.0378165494478775,0.023897373062934893,0.023897373062934893,0.0,0.0463254791476559,0.0842616204120277,0.0514843662859552,1.1222862168895047,,cuda:1,0.14084507042253525,0.9014084507042254,0.676056338028169,0.676056338028169,0.6690140845070423,0.6742957746478873,0.6742957746478873,0.6742957746478873,23.0,False,
pls_H24_k2__rolling240m_annual__regime_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__regime_mean__regime_dcc__zero_cross,regime_dcc__zero_cross,regime_dcc,asset_regime_dcc,factor_apt_regime,zero,pure_qp,1,0.0892537682064257,0.0892537682064257,0.0892537682064257,0.0650059271548831,0.0650059271548831,0.0429754365861768,0.005039295321805,0.0378165494478775,0.024247841051542596,0.024247841051542596,0.0,0.04627833162024889,0.0842144728846207,0.051437218758548196,1.1241068417844848,,cuda:1,0.09859154929577463,0.9154929577464789,0.6619718309859155,0.6619718309859155,0.6690140845070423,0.6637323943661972,0.6637323943661972,0.6637323943661972,24.0,False,
pls_H24_k2__rolling240m_annual__baseline_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__baseline_mean__dcc,dcc,dcc,asset_dcc,factor_apt,estimated,pure_qp,1,0.08951424676446641,0.08951424676446641,0.0896159949045944,0.0728093314755143,0.0728093314755143,0.0429754365861768,0.005039295321805,0.0378165494478775,0.016806663429080104,0.016806663429080104,-0.00010174814012799127,0.0466405583184176,0.0845766995827894,0.05179944545671691,1.1323725469200243,,cuda:0,0.9647887323943662,0.43661971830985913,0.7323943661971831,0.7323943661971831,0.4084507042253521,0.6514084507042254,0.6514084507042254,0.6514084507042254,25.0,False,
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__adcc,adcc,adcc,asset_adcc,factor_apt_regime,estimated,pure_qp,1,0.08960304724104909,0.08960304724104909,0.0900606825724212,0.0704761413899585,0.0704761413899585,0.0429754365861768,0.005039295321805,0.0378165494478775,0.019584541182462695,0.019584541182462695,-0.0004576353313721082,0.047085245986244396,0.0850213872506162,0.0522441331245437,1.1398707448093983,,cuda:1,0.2605633802816901,0.7323943661971831,0.7464788732394366,0.7464788732394366,0.323943661971831,0.6408450704225352,0.6408450704225352,0.6408450704225352,26.0,False,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt_regime,zero,pure_qp,1,0.0889053679307594,0.0889053679307594,0.0889053679307594,0.0692259649237642,0.0692259649237642,0.0429754365861768,0.005039295321805,0.0378165494478775,0.019679403006995194,0.019679403006995194,0.0,0.0459299313445826,0.0838660726089544,0.0510888184828819,1.1097727605184022,,cuda:1,0.204225352112676,0.7605633802816901,0.619718309859155,0.619718309859155,0.6690140845070423,0.6320422535211269,0.6320422535211269,0.6320422535211269,27.0,False,
pls_H24_k2__rolling240m_annual__baseline_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__baseline_mean__regime_dcc__gated_cross,regime_dcc__gated_cross,regime_dcc,asset_regime_dcc,factor_apt,regime_gated,pure_qp,1,0.08936704580575859,0.08936704580575859,0.0894190160433792,0.072040841068242,0.072040841068242,0.0429754365861768,0.005039295321805,0.0378165494478775,0.01737817497513719,0.01737817497513719,-5.1970237620602155e-05,0.04644357945720239,0.0843797207215742,0.051602466595501696,1.1320858078815477,,cuda:0,0.7887323943661972,0.5352112676056338,0.6901408450704225,0.6901408450704225,0.4225352112676056,0.6232394366197183,0.6232394366197183,0.6232394366197183,28.0,False,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt_regime,zero,pure_qp,1,0.0888405479189053,0.0888405479189053,0.0888405479189053,0.0692109090907599,0.0692109090907599,0.0429754365861768,0.005039295321805,0.0378165494478775,0.019629638828145404,0.019629638828145404,0.0,0.045865111332728505,0.0838012525971003,0.05102399847102781,1.1090031992298248,,cuda:1,0.176056338028169,0.7464788732394366,0.5915492957746479,0.5915492957746479,0.6690140845070423,0.6109154929577465,0.6109154929577465,0.6109154929577465,29.0,False,
pls_H1_k2__rolling240m_annual__baseline_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__baseline_mean__regime_dcc__zero_cross,regime_dcc__zero_cross,regime_dcc,asset_regime_dcc,factor_apt,zero,pure_qp,1,0.0887751617092365,0.0887751617092365,0.0887751617092365,0.0708320323871424,0.0708320323871424,0.0429754365861768,0.005039295321805,0.0378165494478775,0.01794312932209409,0.01794312932209409,0.0,0.045799725123059694,0.0837358663874315,0.050958612261359,1.107534952262837,,cuda:0,0.323943661971831,0.5633802816901409,0.5774647887323944,0.5774647887323944,0.6690140845070423,0.6003521126760563,0.6003521126760563,0.6003521126760563,30.0,False,
pls_H12_k2__rolling240m_annual__baseline_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__baseline_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt,zero,pure_qp,1,0.0886673996726668,0.0886673996726668,0.0886673996726668,0.0723672483143843,0.0723672483143843,0.0429754365861768,0.005039295321805,0.0378165494478775,0.0163001513582825,0.0163001513582825,0.0,0.045691963086490005,0.0836281043508618,0.05085085022478931,1.110070821037654,,cuda:0,0.8802816901408451,0.323943661971831,0.5633802816901409,0.5633802816901409,0.6690140845070423,0.5897887323943662,0.5897887323943662,0.5897887323943662,31.0,True,7.0
pls_H12_k2__rolling240m_annual__baseline_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__baseline_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt,zero,pure_qp,1,0.0886324813654239,0.0886324813654239,0.0886324813654239,0.0723535549490287,0.0723535549490287,0.0429754365861768,0.005039295321805,0.0378165494478775,0.016278926416395195,0.016278926416395195,0.0,0.0456570447792471,0.0835931860436189,0.0508159319175464,1.1096955009416594,,cuda:0,0.852112676056338,0.3098591549295775,0.5492957746478873,0.5492957746478873,0.6690140845070423,0.579225352112676,0.579225352112676,0.579225352112676,32.0,False,
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__regime_dcc__gated_cross,regime_dcc__gated_cross,regime_dcc,asset_regime_dcc,factor_apt_regime,regime_gated,pure_qp,1,0.08900790560135761,0.08900790560135761,0.089330349823192,0.0623547734203462,0.0623547734203462,0.0429754365861768,0.005039295321805,0.0378165494478775,0.026975576402845806,0.026975576402845806,-0.00032244422183438926,0.046354913237015204,0.084291054501387,0.05151380037531451,1.1308566528327104,,cuda:1,0.05633802816901412,0.971830985915493,0.6338028169014085,0.6338028169014085,0.3802816901408451,0.5704225352112677,0.5704225352112677,0.5704225352112677,33.0,False,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__const,const,const,constant,factor_apt_regime,estimated,pure_qp,1,0.0878559303880519,0.0878559303880519,0.0860681852576046,0.0696167556343284,0.0696167556343284,0.0429754365861768,0.005039295321805,0.0378165494478775,0.016451429623276198,0.016451429623276198,0.001787745130447299,0.043092748671427795,0.0810288899357996,0.0482516358097271,1.1048304264868951,,cuda:1,0.23239436619718312,0.352112676056338,0.4225352112676056,0.4225352112676056,1.0,0.5669014084507042,0.5669014084507042,0.5669014084507042,34.0,False,
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__const,const,const,constant,factor_apt_regime,estimated,pure_qp,1,0.08770319047946169,0.08770319047946169,0.0863890453474009,0.0708835773131046,0.0708835773131046,0.0429754365861768,0.005039295321805,0.0378165494478775,0.015505468034296296,0.015505468034296296,0.0013141451320607955,0.0434136087612241,0.0813497500255959,0.0485724958995234,1.1091796112446994,,cuda:1,0.35915492957746475,0.19718309859154926,0.3802816901408451,0.3802816901408451,0.971830985915493,0.5281690140845071,0.5281690140845071,0.5281690140845071,35.0,False,
