selection_unit_id,spec,kind,factor_dim,state_dim,horizon,latent_k,feature_blocks,provided_source,residual_base,residual_k,stage1_engine,legacy_spec,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,r2_oos_ret_mean,r2_oos_ret_median,r2_roll_ret_q10,r2_roll_ret_min,r2_oos_state_mean,r2_oos_state_median,r2_roll_state_q10,r2_roll_state_min,train_obs_mean,train_obs_min_mean,train_obs_max_mean,cross_mean_abs_rho,cross_max_abs_rho,n_blocks,selection_split_mode,selection_val_months_requested,fail_return,fail_state,fail_cross,warn_cross,passes_guard,score_ret_mean_rank,score_ret_q10_rank,score_state_mean_rank,score_state_q10_rank,score_ret_mean_component,score_ret_q10_component,score_state_mean_component,score,stage1_mean_variant_label,mean_model_kind,cheap_rank,cheap_selected_for_rerank,recommended,official_selected_stage1,diagnostic_stage2,stage1_selected_rank
pls_ret_ff5_curve_macro7_H1_k1__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H1_k1,pls,1,1,1.0,1.0,returns|ff5|curve_core|macro7,,,,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.029173807485265792,0.03258627241426604,0.00042772230273631823,-0.008630399519463119,0.6884673243712661,0.6884673243712661,0.534134815732075,0.4527313848298308,234.0,192.0,240.0,0.6760339938725547,0.8186830703090167,1,trailing_holdout,240,False,False,False,False,True,0.62,1.0,0.52,0.52,0.02479773636247592,6.415834541044773e-05,0.0,0.02486189470788637,baseline_mean,factor_apt,21,False,False,False,False,
pls_ret_ff5_curve_macro7_H1_k1__rolling240m_annual__regime_mean,pls_ret_ff5_curve_macro7_H1_k1,pls,1,1,1.0,1.0,returns|ff5|curve_core|macro7,,,,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.029173807485265792,0.03258627241426604,0.00042772230273631823,-0.008630399519463119,0.6884673243712661,0.6884673243712661,0.534134815732075,0.4527313848298308,234.0,192.0,240.0,0.6760339938725547,0.8186830703090167,1,trailing_holdout,240,False,False,False,False,True,0.62,1.0,0.52,0.52,0.02479773636247592,6.415834541044773e-05,0.0,0.02486189470788637,regime_mean,factor_apt_regime,22,False,False,False,False,
ff3_pcares_k1__rolling240m_annual__baseline_mean,ff3_pcares_k1,resid_pca,4,4,,,,,ff3,1.0,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.03179692894848688,0.021126263668349132,-0.015222093578449478,-0.04030497112439852,0.030395567099886805,0.030870417153205654,-0.03259128838540071,-0.04459130456474664,234.0,192.0,240.0,0.3685917480964294,0.9706277126730409,1,trailing_holdout,240,False,False,False,True,True,0.7,0.72,0.18000000000000005,0.07999999999999996,0.02702738960621385,-0.002283314036767422,0.0,0.02474407556944643,baseline_mean,factor_apt,23,False,False,False,False,
ff3_pcares_k1__rolling240m_annual__regime_mean,ff3_pcares_k1,resid_pca,4,4,,,,,ff3,1.0,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.03179692894848688,0.021126263668349132,-0.015222093578449478,-0.04030497112439852,0.030395567099886805,0.030870417153205654,-0.03259128838540071,-0.04459130456474664,234.0,192.0,240.0,0.3685917480964294,0.9706277126730409,1,trailing_holdout,240,False,False,False,True,True,0.7,0.72,0.18000000000000005,0.07999999999999996,0.02702738960621385,-0.002283314036767422,0.0,0.02474407556944643,regime_mean,factor_apt_regime,24,False,False,False,False,
ff3_curve_core__rolling240m_annual__baseline_mean,ff3_curve_core,provided,6,6,,,,ff3_curve_core,,,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.030676621470172916,0.015357057068099755,-0.013792759504870085,-0.03492730296901032,0.023751578357497805,0.018745403475835087,-0.03650219075001915,-0.05279970086348055,234.0,192.0,240.0,0.4143239431645978,0.9809841828565401,1,trailing_holdout,240,False,False,True,True,False,0.6599999999999999,0.74,0.14,0.06000000000000005,0.026075128249646976,-0.0020689139257305126,0.0,0.024006214323916465,baseline_mean,factor_apt,25,False,False,False,False,
ff3_curve_core__rolling240m_annual__regime_mean,ff3_curve_core,provided,6,6,,,,ff3_curve_core,,,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.030676621470172916,0.015357057068099755,-0.013792759504870085,-0.03492730296901032,0.023751578357497805,0.018745403475835087,-0.03650219075001915,-0.05279970086348055,234.0,192.0,240.0,0.4143239431645978,0.9809841828565401,1,trailing_holdout,240,False,False,True,True,False,0.6599999999999999,0.74,0.14,0.06000000000000005,0.026075128249646976,-0.0020689139257305126,0.0,0.024006214323916465,regime_mean,factor_apt_regime,26,False,False,False,False,
pls_H12_k3__rolling240m_annual__baseline_mean,pls_H12_k3,pls,3,3,12.0,3.0,returns,,,,ported_legacy_v2,pls_H12_k3,rolling240m_annual,rolling,240,12,1,0.03646290278674153,0.033205818020257016,-0.04696214866102667,-0.06972261990671588,0.5302290208567761,0.5207774839493116,0.4536666229494735,0.34572061395615544,234.0,192.0,240.0,0.44363184613223616,0.9421926945689763,1,trailing_holdout,240,False,False,False,False,True,0.8200000000000001,0.36,0.28,0.26,0.0309934673687303,-0.007044322299154001,0.0,0.0239491450695763,baseline_mean,factor_apt,27,False,False,False,False,
pls_H12_k3__rolling240m_annual__regime_mean,pls_H12_k3,pls,3,3,12.0,3.0,returns,,,,ported_legacy_v2,pls_H12_k3,rolling240m_annual,rolling,240,12,1,0.03646290278674153,0.033205818020257016,-0.04696214866102667,-0.06972261990671588,0.5302290208567761,0.5207774839493116,0.4536666229494735,0.34572061395615544,234.0,192.0,240.0,0.44363184613223616,0.9421926945689763,1,trailing_holdout,240,False,False,False,False,True,0.8200000000000001,0.36,0.28,0.26,0.0309934673687303,-0.007044322299154001,0.0,0.0239491450695763,regime_mean,factor_apt_regime,28,False,False,False,False,
pca_k4__rolling240m_annual__baseline_mean,pca_k4,pca,4,4,,4.0,,,,,ported_legacy_v2,pca_only_k4,rolling240m_annual,rolling,240,12,1,0.030819810162815986,0.021193248948834564,-0.01556208242639539,-0.03732438974146854,0.016758381430603264,0.03570076885429563,-0.04213972277518971,-0.050220310488090836,234.0,192.0,240.0,0.37646390872551216,0.9823080522523575,1,trailing_holdout,240,False,False,True,True,False,0.6799999999999999,0.7,0.09999999999999998,0.040000000000000036,0.026196838638393588,-0.0023343123639593083,0.0,0.02386252627443428,baseline_mean,factor_apt,29,False,False,False,False,
pca_k4__rolling240m_annual__regime_mean,pca_k4,pca,4,4,,4.0,,,,,ported_legacy_v2,pca_only_k4,rolling240m_annual,rolling,240,12,1,0.030819810162815986,0.021193248948834564,-0.01556208242639539,-0.03732438974146854,0.016758381430603264,0.03570076885429563,-0.04213972277518971,-0.050220310488090836,234.0,192.0,240.0,0.37646390872551216,0.9823080522523575,1,trailing_holdout,240,False,False,True,True,False,0.6799999999999999,0.7,0.09999999999999998,0.040000000000000036,0.026196838638393588,-0.0023343123639593083,0.0,0.02386252627443428,regime_mean,factor_apt_regime,30,False,False,False,False,
