selection_unit_id,spec,kind,block,selection_split_mode,train_start_date,train_end_date,val_start_date,val_end_date,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,train_obs,train_obs_min,train_obs_max,val_obs,r2_oos_ret_mean,r2_oos_ret_median,r2_roll_ret_q10,r2_roll_ret_min,r2_oos_state_mean,r2_oos_state_median,r2_roll_state_q10,r2_roll_state_min,stage1_engine,cross_mean_abs_rho,cross_max_abs_rho
pls_H12_k3__rolling240m_annual__baseline_mean,pls_H12_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.03646290278674153,0.033205818020257016,-0.04696214866102667,-0.06972261990671588,0.5302290208567761,0.5207774839493116,0.4536666229494735,0.34572061395615544,ported_legacy_v2,0.21935753701533686,0.4791732237939182
pls_H24_k2__rolling240m_annual__baseline_mean,pls_H24_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.045385471265688655,0.04069564419146765,-0.0014508100518091124,-0.02555646753235403,0.5673885129999838,0.5673885129999838,0.5231782370043916,0.4893649063636906,ported_legacy_v2,0.026519204052693948,0.026519204052693948
pls_H24_k3__rolling240m_annual__baseline_mean,pls_H24_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.03819878530768835,0.03494332728355165,-0.030374823285799744,-0.04002516340640553,0.5463009630567851,0.5405144529782461,0.4809836379762558,0.4083945336203465,ported_legacy_v2,0.11137708841601889,0.21288907169929247
pls_ret_macro7_H6_k2__rolling240m_annual__baseline_mean,pls_ret_macro7_H6_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.02137668514570095,0.018032385607519297,-0.15040438804334713,-0.21649753640498412,0.7720267277156738,0.7720267277156738,0.6972525131202043,0.6654190494621437,ported_legacy_v2,0.28646284830474233,0.28646284830474233
pls_ret_macro7_H6_k3__rolling240m_annual__baseline_mean,pls_ret_macro7_H6_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.032683004182462456,0.02997016045586176,-0.1340184171258646,-0.190160830861465,0.8445539203156764,0.9381460220415577,0.7779210861320459,0.7592104861443576,ported_legacy_v2,0.2700253597220746,0.36464121833006685
pls_ret_macro7_H12_k2__rolling240m_annual__baseline_mean,pls_ret_macro7_H12_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.014281900696763987,0.019593533936165586,-0.04945070786109602,-0.0803406004551125,0.985824474543623,0.985824474543623,0.9082546578142481,0.8566560998205777,ported_legacy_v2,0.6765466330064909,0.6765466330064909
pls_ret_macro7_H12_k3__rolling240m_annual__baseline_mean,pls_ret_macro7_H12_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.020298147945997713,0.017349693987481984,-0.10854740857919726,-0.1654979847794402,0.9627712981927674,0.9856544788002961,0.7888678085034719,0.7616395897782393,ported_legacy_v2,0.7281136133551288,0.8844636265378766
pls_ret_macro7_H24_k2__rolling240m_annual__baseline_mean,pls_ret_macro7_H24_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,-0.003634964655516431,-0.0010029378289913016,-0.0408237146038353,-0.05727313305464922,0.9815845411061168,0.9815845411061168,0.9033663541415671,0.8925087236818886,ported_legacy_v2,0.48403912414251,0.48403912414251
pls_ret_macro7_H24_k3__rolling240m_annual__baseline_mean,pls_ret_macro7_H24_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.0034357721717232564,-0.00020396439418823853,-0.04575009272194365,-0.07045030654719539,0.9739205273452648,0.9692460407811945,0.8418148562955361,0.8309098754883871,ported_legacy_v2,0.6542441239779329,0.7816064147286066
pls_ret_ff5_macro7_H6_k2__rolling240m_annual__baseline_mean,pls_ret_ff5_macro7_H6_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.02248088752473729,0.014431873189626576,-0.15027047606483543,-0.21062422406973977,0.7872711653982178,0.7872711653982178,0.6996744935140358,0.6709538502815415,ported_legacy_v2,0.29378760761496486,0.29378760761496486
pls_ret_ff5_macro7_H6_k3__rolling240m_annual__baseline_mean,pls_ret_ff5_macro7_H6_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.032630676820634225,0.030388084866287746,-0.13657272109857355,-0.1960768866797235,0.8575798248514893,0.9389390821417469,0.7838895683283775,0.7667450107193052,ported_legacy_v2,0.3458433912325847,0.38512087581782456
pls_ret_ff5_macro7_H12_k2__rolling240m_annual__baseline_mean,pls_ret_ff5_macro7_H12_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.014851916851725896,0.02055887346589491,-0.049204664641526855,-0.07694888726110143,0.9868945237432569,0.9868945237432569,0.9330120797678925,0.8896488433245737,ported_legacy_v2,0.6689067365331097,0.6689067365331097
pls_ret_ff5_macro7_H12_k3__rolling240m_annual__baseline_mean,pls_ret_ff5_macro7_H12_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.021859286708578902,0.019002516131322644,-0.09375834044782805,-0.1460026375250375,0.8769189165809997,0.9867852002604907,0.771420171043166,0.7516823611548936,ported_legacy_v2,0.5186624805870622,0.6689067365331093
pls_ret_ff5_macro7_H24_k2__rolling240m_annual__baseline_mean,pls_ret_ff5_macro7_H24_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.0001149373120938139,-0.0020544786790037683,-0.04700197710671351,-0.06447579980853974,0.9356400744779401,0.9356400744779401,0.8192064424856789,0.7734093105353482,ported_legacy_v2,0.06624592867787894,0.06624592867787894
pls_ret_ff5_macro7_H24_k3__rolling240m_annual__baseline_mean,pls_ret_ff5_macro7_H24_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.003894046327386966,0.009128099755671193,-0.04497627645476479,-0.06650651853198843,0.9544153346307148,0.985125732449245,0.8564358224518281,0.8395048979716372,ported_legacy_v2,0.43433042862060106,0.6358302799928696
pls_ret_ff5_curve_macro7_H1_k1__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H1_k1,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.029173807485265792,0.03258627241426604,0.00042772230273631823,-0.008630399519463119,0.6884673243712661,0.6884673243712661,0.534134815732075,0.4527313848298308,ported_legacy_v2,0.0,0.0
pls_ret_ff5_curve_macro7_H1_k2__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H1_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.04504835697440349,0.03785062446500198,-0.07766615493644431,-0.10911336417793009,0.7393635754881402,0.7393635754881402,0.5589010403316581,0.5219264593036945,ported_legacy_v2,0.43528743976404843,0.43528743976404843
pls_ret_ff5_curve_macro7_H2_k1__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H2_k1,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.03464880490104075,0.03817862924197435,-0.005184250159817568,-0.02373012189700552,0.8003346438753816,0.8003346438753816,0.6788077147532117,0.547725984489041,ported_legacy_v2,0.0,0.0
pls_ret_ff5_curve_macro7_H2_k2__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H2_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.035150160313622864,0.031200880490054206,-0.14432165411872377,-0.19532288046274995,0.811466233196545,0.811466233196545,0.6830621280997464,0.6377050101931694,ported_legacy_v2,0.40718417174623595,0.40718417174623595
pls_ret_ff5_curve_macro7_H3_k1__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H3_k1,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.03293697998832008,0.03835348214702716,-0.0017008221793394106,-0.01497135165457882,0.7916619405866238,0.7916619405866238,0.6000003050235725,0.38981358111724396,ported_legacy_v2,0.0,0.0
pls_ret_ff5_curve_macro7_H3_k2__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H3_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.03853953775139153,0.03788566640537505,-0.11841530274934156,-0.1670482318479115,0.7919986089334919,0.7919986089334919,0.6708536105261075,0.5380259735940955,ported_legacy_v2,0.42249536546237787,0.42249536546237787
pls_ret_ff5_curve_macro7_H6_k1__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H6_k1,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.025076372890439055,0.02555430764542277,-0.01870540357044803,-0.03769176059358311,0.8078139697757398,0.8078139697757398,0.7118136906641048,0.5930827148406159,ported_legacy_v2,0.0,0.0
pls_ret_ff5_curve_macro7_H6_k2__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H6_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.029251094198369614,0.021495919356361637,-0.1357077149471065,-0.17226877447420086,0.8316109519179316,0.8316109519179316,0.6691645271249873,0.6171150237243052,ported_legacy_v2,0.40483483492605504,0.40483483492605504
pls_ret_ff5_curve_macro7_H6_k3__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H6_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.025399571302723387,0.02493510009138833,-0.13977498138183106,-0.181005858220123,0.8812565583350919,0.8390039519797879,0.7601957160151288,0.7267084303387056,ported_legacy_v2,0.31467290000787856,0.43494591802777505
pls_ret_ff5_curve_macro7_H12_k2__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H12_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,-0.0002507103758468101,3.528232626670569e-05,-0.07160816386008466,-0.11744578675333996,0.9199212281109037,0.9199212281109037,0.7733846154123903,0.6870752466985715,ported_legacy_v2,0.5895676604202881,0.5895676604202881
pls_ret_ff5_curve_macro7_H12_k3__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H12_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.017305258996358066,0.017683300161858484,-0.09118140304037996,-0.12697027359060364,0.9529726864755403,0.9781873136139144,0.842714411979034,0.7972912742500711,ported_legacy_v2,0.6829437206153486,0.8372089991019442
pls_ret_ff5_curve_macro7_H24_k2__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H24_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.00042434086566538957,-0.0007591603154453175,-0.04824187645730212,-0.06251970565358606,0.9319016027512842,0.9319016027512842,0.8215955123449277,0.7805826731644858,ported_legacy_v2,0.10824981990687736,0.10824981990687736
pls_ret_ff5_curve_macro7_H24_k3__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H24_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.009152672782370554,0.0026062207506708512,-0.04259156696929833,-0.06097732334385748,0.9496704068857783,0.9826686631143496,0.8522201886243597,0.838621059852693,ported_legacy_v2,0.43793043267746395,0.6137255324853605
